symbol,timestamp,funding_rate,funding_interval_hours
ETHUSDT,2020-03-09T00:00:00Z,0.0001,8
BTCUSDT,2020-03-09T08:00:00Z,0.0001,8
ETHUSDT,2020-03-09T08:00:00Z,0.00011432,8
BTCUSDT,2020-03-09T16:00:00Z,0.0001,8
ETHUSDT,2020-03-09T16:00:00Z,0.00016188,8
BTCUSDT,2020-03-10T00:00:00Z,0.0001,8
ETHUSDT,2020-03-10T00:00:00Z,0.00025018,8
BTCUSDT,2020-03-10T08:00:00Z,0.0001,8
ETHUSDT,2020-03-10T08:00:00Z,0.0001,8
BTCUSDT,2020-03-10T16:00:00Z,0.0001,8
ETHUSDT,2020-03-10T16:00:00Z,0.00025409,8
BTCUSDT,2020-03-11T00:00:00Z,0.0001,8
ETHUSDT,2020-03-11T00:00:00Z,0.0001,8
BTCUSDT,2020-03-11T08:00:00Z,0.0001,8
ETHUSDT,2020-03-11T08:00:00Z,0.00016304,8
BTCUSDT,2020-03-11T16:00:00Z,0.00022898,8
ETHUSDT,2020-03-11T16:00:00Z,0.00037247,8
BTCUSDT,2020-03-12T00:00:00Z,0.00010572,8
ETHUSDT,2020-03-12T00:00:00Z,0.00036391,8
BTCUSDT,2020-03-12T08:00:00Z,0.0001,8
ETHUSDT,2020-03-12T08:00:00Z,0.00054526,8
BTCUSDT,2020-03-12T16:00:00Z,-0.00015149,8
ETHUSDT,2020-03-12T16:00:00Z,0.0001,8
BTCUSDT,2020-03-13T00:00:00Z,-0.00016073,8
ETHUSDT,2020-03-13T00:00:00Z,0.0001,8
BTCUSDT,2020-03-13T08:00:00Z,-0.003,8
ETHUSDT,2020-03-13T08:00:00Z,-0.00281778,8
BTCUSDT,2020-03-13T16:00:00Z,-0.00065378,8
ETHUSDT,2020-03-13T16:00:00Z,-0.00027991,8
BTCUSDT,2020-03-14T00:00:00Z,-0.00076421,8
ETHUSDT,2020-03-14T00:00:00Z,0.0001,8
BTCUSDT,2020-03-14T08:00:00Z,-4.946e-05,8
ETHUSDT,2020-03-14T08:00:00Z,0.0001,8
BTCUSDT,2020-03-14T16:00:00Z,-0.00050325,8
ETHUSDT,2020-03-14T16:00:00Z,0.0001,8
BTCUSDT,2020-03-15T00:00:00Z,-0.00047893,8
ETHUSDT,2020-03-15T00:00:00Z,0.0001,8
