n_events,seed,BTC_net,BTC_ex,BTC_n,ETH_net,ETH_ex,ETH_n,SOL_net,SOL_ex,SOL_n
10,118,-0.13910000000000008,,10,-0.13440000000000002,,10,-0.11839999999999998,,10
10,119,-0.027000000000000003,,10,-0.12619999999999998,,10,-0.4164,,10
10,120,-1.0369000000000002,,10,-0.42919999999999997,,10,-0.7163999999999999,,10
10,121,-0.7384,,10,-0.42879999999999996,,10,-0.41899999999999993,,10
10,122,-1.0341,,10,-1.0258999999999998,,10,-0.8536999999999999,,10
10,123,-0.053400000000000024,,10,0.17350000000000004,,10,0.8002,,10
10,124,0.17160000000000003,,10,0.7765000000000001,,10,1.0856999999999999,,10
10,125,-0.13170000000000004,,10,0.17330000000000004,,10,0.18560000000000004,,10
10,126,-0.13889999999999997,,10,-0.4314,,10,0.4824,,10
10,127,-0.13669999999999996,,10,-0.1306,,10,-0.11860000000000001,,10
10,128,0.46290000000000003,,10,0.4721,,10,-0.02059999999999995,,10
10,129,-0.12779999999999997,,10,0.4785000000000001,,10,-0.11539999999999995,,10
10,130,-0.13039999999999996,,10,0.17650000000000002,,10,-0.1153,,10
10,131,-0.13879999999999998,,10,-0.12839999999999993,,10,-0.12649999999999997,,10
10,132,0.2685,,10,-0.12819999999999995,,10,0.7742999999999999,,10
10,133,-0.2935,,10,-0.12519999999999998,,10,0.18980000000000002,,10
10,134,-0.4786363636363637,,11,0.3434545454545455,,11,0.07890909090909096,,11
10,135,0.4612000000000001,,10,0.77,,10,0.19410000000000008,,10
10,136,-0.4246,,10,-0.7196,,10,-0.11389999999999997,,10
10,137,-0.13439999999999996,,10,-0.7269,,10,-0.7142999999999999,,10
10,138,-0.22618181818181815,,11,-0.2173636363636363,,11,-0.4868181818181817,,11
10,139,1.0676,,10,0.475,,10,0.1849,,10
10,140,0.4718000000000001,,10,0.47890000000000005,,10,-0.13389999999999996,,10
10,141,0.7704000000000001,,10,0.7765000000000001,,10,0.48240000000000016,,10
10,142,0.15230000000000005,,10,0.15980000000000008,,10,0.7815999999999999,,10
10,143,-0.1375,,10,0.17140000000000005,,10,0.2941000000000001,,10
10,144,0.16829999999999998,,10,-0.4241999999999999,,10,-0.42989999999999995,,10
10,145,0.4585000000000001,,10,0.7694000000000002,,10,0.17980000000000004,,10
10,146,0.1776000000000001,,10,0.18149999999999997,,10,0.7838,,10
10,147,-0.4351999999999999,,10,-0.12569999999999995,,10,0.4796,,10
10,148,-0.14089999999999994,,10,0.0498,,10,-0.10759999999999995,,10
10,149,-0.20872727272727268,,11,-0.475090909090909,,11,-0.3781818181818182,,11
10,150,-0.045499999999999964,,10,-0.1328999999999999,,10,-0.12279999999999995,,10
10,151,-0.13859999999999997,,10,-0.12899999999999998,,10,-0.7172999999999999,,10
10,152,-0.13110000000000002,,10,-0.4241,,10,-0.41559999999999997,,10
10,153,-0.44580000000000003,,10,-0.43979999999999997,,10,-0.4168,,10
10,154,-0.33720000000000006,,10,-0.42699999999999994,,10,0.17919999999999997,,10
10,155,0.16550000000000004,,10,-0.12899999999999995,,10,0.7835000000000001,,10
10,156,0.16520000000000004,,10,-0.12730000000000002,,10,0.7835000000000001,,10
10,157,-0.4225,,10,0.18240000000000003,,10,0.00820000000000003,,10
10,158,0.3288181818181819,,11,-0.21372727272727274,,11,-0.09799999999999995,,11
10,159,-0.7320999999999999,,10,-0.7265999999999999,,10,-0.418,,10
10,160,0.7722,,10,0.17690000000000003,,10,0.4797999999999999,,10
10,161,-0.7322999999999998,,10,-0.4246999999999999,,10,0.18580000000000005,,10
10,162,0.7630000000000001,,10,-0.13059999999999994,,10,0.17840000000000006,,10
10,163,-0.0324444444444444,,9,-0.696,,9,-0.3493333333333333,,9
10,164,-0.42969999999999997,,10,-0.7261999999999998,,10,-0.7204999999999999,,10
10,165,0.8707,,10,0.4748000000000001,,10,0.4697000000000001,,10
10,166,0.06372727272727276,,11,0.06936363636363646,,11,-0.1952727272727272,,11
10,167,-0.13710000000000003,,10,-0.42779999999999996,,10,-0.13409999999999997,,10
10,168,-0.14350000000000002,,10,-0.4392999999999999,,10,-0.4131,,10
10,169,0.1753,,10,-0.4196999999999999,,10,0.18470000000000003,,10
10,170,-0.43899999999999995,,10,-0.2545,,10,0.48150000000000004,,10
10,171,-0.43000000000000005,,10,-0.4266,,10,0.1863,,10
10,172,-0.42539999999999994,,10,-0.4194999999999999,,10,-0.7142000000000001,,10
10,173,-0.13469999999999993,,10,0.17430000000000004,,10,0.18650000000000005,,10
10,174,0.37440000000000007,,10,-0.4215999999999999,,10,0.18470000000000003,,10
10,175,0.7626,,10,0.47050000000000003,,10,0.4814,,10
10,176,-0.12799999999999995,,10,-0.12249999999999997,,10,0.48630000000000007,,10
